fips,county,state,stroke_hosp,medicare_pop
01001,Autauga County,Alabama,13.4,7277.952
01003,Baldwin County,Alabama,12.6,33652.08
01005,Barbour County,Alabama,12.7,4176.326
01007,Bibb County,Alabama,14.3,3194.073
01009,Blount County,Alabama,13.4,9165.555
01011,Bullock County,Alabama,11.4,1518.406
01013,Butler County,Alabama,14.3,3591.525
01015,Calhoun County,Alabama,15.0,17812.272
01017,Chambers County,Alabama,18.3,6034.107
01019,Cherokee County,Alabama,14.5,5000.064
01021,Chilton County,Alabama,15.6,6348.245
01023,Choctaw County,Alabama,14.5,2655.016
01025,Clarke County,Alabama,15.0,4306.27
01027,Clay County,Alabama,17.4,2478.294
01029,Cleburne County,Alabama,11.9,2593.27
01031,Coffee County,Alabama,12.6,7608.9
01033,Colbert County,Alabama,14.6,9699.398
01035,Conecuh County,Alabama,19.5,2454.165
01037,Coosa County,Alabama,10.2,1945.731
01039,Covington County,Alabama,17.9,7273.152
01041,Crenshaw County,Alabama,10.3,2299.77
01043,Cullman County,Alabama,13.6,13552.224
01045,Dale County,Alabama,14.1,7101.846
01047,Dallas County,Alabama,15.9,6283.221
01049,DeKalb County,Alabama,12.7,10376.804
01051,Elmore County,Alabama,12.6,10281.088
01053,Escambia County,Alabama,17.1,6010.636
01055,Etowah County,Alabama,15.3,17076.664
01057,Fayette County,Alabama,16.1,3148.515
01059,Franklin County,Alabama,13.3,4971.091
01061,Geneva County,Alabama,16.1,4880.512
01063,Greene County,Alabama,17.0,1486.862
01065,Hale County,Alabama,16.9,2524.452
01067,Henry County,Alabama,13.6,3298.57
01069,Houston County,Alabama,14.6,15668.008
01071,Jackson County,Alabama,13.8,9171.076
01073,Jefferson County,Alabama,13.0,89601.424
01075,Lamar County,Alabama,18.1,2725.188
01077,Lauderdale County,Alabama,11.6,16236.5
01079,Lawrence County,Alabama,18.8,5176.755
01081,Lee County,Alabama,11.8,14187.84
01083,Limestone County,Alabama,12.7,11244.543
01085,Lowndes County,Alabama,12.9,1725.044
01087,Macon County,Alabama,14.2,3137.265
01089,Madison County,Alabama,13.0,44276.541
01091,Marengo County,Alabama,12.0,3626.553
01093,Marion County,Alabama,14.4,5830.657
01095,Marshall County,Alabama,17.3,14588.755
01097,Mobile County,Alabama,12.1,56724.165
01099,Monroe County,Alabama,12.0,3781.512
01101,Montgomery County,Alabama,10.8,28606.25
01103,Morgan County,Alabama,13.5,17841.856
01105,Perry County,Alabama,15.0,1877.352
01107,Pickens County,Alabama,17.6,3454.704
01109,Pike County,Alabama,12.7,4417.728
02188,Northwest Arctic County,Alaska,,483.336
01111,Randolph County,Alabama,14.4,4113.044
01113,Russell County,Alabama,13.6,7065.52
01115,St. Clair County,Alabama,15.0,12019.122
01117,Shelby County,Alabama,13.1,23737.824
01119,Sumter County,Alabama,19.8,2068.682
01121,Talladega County,Alabama,16.2,12250.95
01123,Tallapoosa County,Alabama,14.8,7556.985
01125,Tuscaloosa County,Alabama,15.7,22251.04
01127,Walker County,Alabama,15.6,11388.292
01129,Washington County,Alabama,11.1,2604.824
01131,Wilcox County,Alabama,15.7,1864.188
01133,Winston County,Alabama,20.2,4584.384
02013,Aleutians East County,Alaska,,164.8
02016,Aleutians West County,Alaska,,322.05
02201,Prince of Wales-Outer Ketchikan County,Alaska,,nan
02020,Anchorage County,Alaska,10.2,23854.24
02050,Bethel County,Alaska,10.3,1072.136
02060,Bristol Bay County,Alaska,,66.665
02068,Denali County,Alaska,,110.592
02070,Dillingham County,Alaska,,381.612
02090,Fairbanks North Star County,Alaska,10.6,7150.968
02100,Haines County,Alaska,,334.967
02110,Juneau County,Alaska,9.7,2994.6
02122,Kenai Peninsula County,Alaska,7.9,7085.875
02130,Ketchikan Gateway County,Alaska,6.7,1477.008
02150,Kodiak Island County,Alaska,,1030.376
02164,Lake and Peninsula County,Alaska,,98.34
02170,Matanuska-Susitna County,Alaska,10.3,8164.341
02180,Nome County,Alaska,,665.856
02185,North Slope County,Alaska,,452.046
02220,Sitka County,Alaska,,1074.84
02232,Skagway-Hoonah-Angoon County,Alaska,,nan
02240,Southeast Fairbanks County,Alaska,,725.532
02261,Valdez-Cordova County,Alaska,10.6,891.02
02270,Wade Hampton County,Alaska,,404.456
02280,Wrangell-Petersburg County,Alaska,,nan
02282,Yakutat County,Alaska,,58.42
02290,Yukon-Koyukuk County,Alaska,,683.771
04001,Apache County,Arizona,8.4,8945.608
04003,Cochise County,Arizona,8.5,23937.681
04005,Coconino County,Arizona,7.7,13445.883
04007,Gila County,Arizona,11.0,13150.774
04009,Graham County,Arizona,9.4,4402.698
04011,Greenlee County,Arizona,,1029.6
04012,La Paz County,Arizona,13.7,6999.712
04013,Maricopa County,Arizona,10.2,513159.66
04015,Mohave County,Arizona,12.8,50620.5
04017,Navajo County,Arizona,10.1,15585.905
04019,Pima County,Arizona,9.1,163868.76
04021,Pinal County,Arizona,12.3,61645.28
04023,Santa Cruz County,Arizona,7.1,6851.25
04025,Yavapai County,Arizona,8.8,55986.518
04027,Yuma County,Arizona,12.1,32836.839
05001,Arkansas County,Arkansas,10.3,3225.231
05001,Arkansas County,Arkansas,10.3,3225.231
05001,Arkansas County,Arkansas,10.3,3225.231
05001,Arkansas County,Arkansas,10.3,3225.231
05001,Arkansas County,Arkansas,10.3,3225.231
05001,Arkansas County,Arkansas,10.3,3225.231
05001,Arkansas County,Arkansas,10.3,3225.231
05001,Arkansas County,Arkansas,10.3,3225.231
05003,Ashley County,Arkansas,9.8,3665.727
05005,Baxter County,Arkansas,13.2,11934.66
05007,Benton County,Arkansas,11.1,29076.375
05009,Boone County,Arkansas,13.1,6987.772
05011,Bradley County,Arkansas,11.3,2014.248
05013,Calhoun County,Arkansas,17.6,990.008
